Department	Zip Code	Cheeses	French URL	English URL	Image	Milk
Aude	11000	Tomme des Pyrénées	http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es	http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es	http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tomme_noire_des_Pyrenees.jpg/280px-Tomme_noire_des_Pyrenees.jpg	Cow
Aveyron	12000	Bleu d'Auvergne	http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne	http://en.wikipedia.org/wiki/Bleu_d%27Auvergne	http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bleu_d%27Auvergne_01.jpg/280px-Bleu_d%27Auvergne_01.jpg	Cow
Aveyron	12000	Bleu des Causses	http://fr.wikipedia.org/wiki/Bleu_des_Causses	http://en.wikipedia.org/wiki/Bleu_des_Causses	http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/10_Bleu_des_Causses.JPG/280px-10_Bleu_des_Causses.JPG	Cow
Aveyron	12000	Cabécou	http://fr.wikipedia.org/wiki/Cab%C3%A9cou	http://en.wikipedia.org/wiki/Cab%C3%A9cou	http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Cab%C3%A9cou_de_l%27Aveyron.JPG/280px-Cab%C3%A9cou_de_l%27Aveyron.JPG	Goat
Aveyron	12000	Caillé	http://fr.wikipedia.org/wiki/Caill%C3%A9	http://en.wikipedia.org/wiki/Curd	http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Caill%C3%A9.JPG/280px-Caill%C3%A9.JPG	Cow
Aveyron	12000	Gabriel Coulet  	http://fr.wikipedia.org/wiki/Gabriel_Coulet_%28marque%29		http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Demi_Castelviel_Gabriel_Coulet.jpg/280px-Demi_Castelviel_Gabriel_Coulet.jpg	Sheep
Aveyron	12000	Laguiole  	http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29	http://en.wikipedia.org/wiki/Laguiole_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Laguiole_%28fromage%29_01.jpg/280px-Laguiole_%28fromage%29_01.jpg	Cow
Aveyron	12000	Lou Pérac	http://fr.wikipedia.org/wiki/Lou_P%C3%A9rac			Sheep
Aveyron	12000	Pérail	http://fr.wikipedia.org/wiki/P%C3%A9rail	http://en.wikipedia.org/wiki/Perail	http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/P%C3%A9rail.jpg/280px-P%C3%A9rail.jpg	Sheep
Aveyron	12000	Rebarbe	http://fr.wikipedia.org/wiki/Rebarbe			Sheep
